Corsair CX450;450;
Corsair CX550F RGB;550;
Corsair RM550x;550;
XPG Core Reactor 650W;650;
Cooler Master V750 Gold V2;750;
EVGA SuperNOVA 850 G7;850;
SilverStone SX1000 SFX-L;1000;
MSI MEG Ai1000P PCIe 5;1000;
Thermaltake Toughpower GF3 1350W;1350;
Corsair AX1600i;1600;
;;
